epoch,o,h,l,c,v,time
1776051900,23589.6,23699.7,23579.8,23629.05,13257524,2026-04-13 09:15:00
1776051960,23626.6,23632.25,23555.6,23583.95,6942236,2026-04-13 09:16:00
1776052020,23584.3,23600.65,23570.95,23570.95,5121570,2026-04-13 09:17:00
1776052080,23573.05,23576.6,23558.55,23569.8,3874096,2026-04-13 09:18:00
1776052140,23568.8,23584.65,23568.8,23578.55,2907325,2026-04-13 09:19:00
1776052200,23579.6,23583.8,23573.2,23581.05,3792220,2026-04-13 09:20:00
1776052260,23579.95,23590.3,23575.15,23583.4,3653956,2026-04-13 09:21:00
1776052320,23583.9,23587.15,23573.0,23580.35,3787218,2026-04-13 09:22:00
1776052380,23580.15,23595.1,23577.35,23588.15,3193661,2026-04-13 09:23:00
1776052440,23587.6,23592.4,23576.15,23591.5,2451268,2026-04-13 09:24:00
1776052500,23590.85,23604.7,23583.25,23598.9,2252702,2026-04-13 09:25:00
1776052560,23600.25,23602.8,23588.1,23598.75,2615780,2026-04-13 09:26:00
1776052620,23595.25,23608.3,23593.5,23602.4,2146892,2026-04-13 09:27:00
1776052680,23602.8,23602.8,23583.0,23595.9,2334508,2026-04-13 09:28:00
1776052740,23591.95,23609.85,23588.75,23604.7,1559228,2026-04-13 09:29:00
1776052800,23604.3,23604.3,23589.9,23590.35,2151702,2026-04-13 09:30:00
1776052860,23590.7,23599.7,23586.9,23593.9,1743163,2026-04-13 09:31:00
1776052920,23593.6,23613.35,23587.55,23608.9,1966038,2026-04-13 09:32:00
1776052980,23608.45,23618.8,23606.8,23613.35,1445170,2026-04-13 09:33:00
1776053040,23613.2,23616.85,23610.05,23615.55,1466170,2026-04-13 09:34:00
1776053100,23615.65,23615.65,23591.75,23593.9,2310593,2026-04-13 09:35:00
1776053160,23590.75,23593.9,23580.4,23580.4,2079425,2026-04-13 09:36:00
1776053220,23580.8,23591.65,23580.35,23588.6,1391302,2026-04-13 09:37:00
1776053280,23588.2,23592.8,23587.65,23592.1,1147976,2026-04-13 09:38:00
1776053340,23590.95,23597.7,23586.2,23592.85,1315061,2026-04-13 09:39:00
1776053400,23591.25,23596.3,23588.35,23594.15,1241328,2026-04-13 09:40:00
1776053460,23596.2,23625.4,23596.2,23625.4,1379551,2026-04-13 09:41:00
1776053520,23625.35,23644.0,23624.15,23627.85,1904203,2026-04-13 09:42:00
1776053580,23627.75,23639.2,23620.2,23634.9,1941000,2026-04-13 09:43:00
1776053640,23634.85,23635.7,23629.3,23633.5,1155997,2026-04-13 09:44:00
1776053700,23634.3,23634.4,23615.9,23623.95,1208319,2026-04-13 09:45:00
1776053760,23622.95,23630.45,23619.4,23629.95,1060292,2026-04-13 09:46:00
1776053820,23630.5,23635.4,23628.4,23629.8,1003955,2026-04-13 09:47:00
1776053880,23629.0,23629.45,23612.45,23621.85,1381929,2026-04-13 09:48:00
