epoch,o,h,l,c,v,time
1776311100,84.0,99.4,73.7,75.25,3202615,2026-04-16 09:15:00
1776311400,75.4,76.5,70.55,71.25,1799785,2026-04-16 09:20:00
1776311700,71.4,72.3,68.2,71.3,1261910,2026-04-16 09:25:00
1776312000,71.35,78.9,69.45,76.75,1261975,2026-04-16 09:30:00
1776312300,76.55,92.9,76.5,85.6,2546310,2026-04-16 09:35:00
1776312600,85.65,95.1,85.65,94.8,1936220,2026-04-16 09:40:00
1776312900,94.35,97.8,85.2,86.0,1507870,2026-04-16 09:45:00
1776313200,86.45,93.75,83.5,90.35,1132040,2026-04-16 09:50:00
1776313500,90.45,102.7,90.3,102.35,1991925,2026-04-16 09:55:00
1776313800,101.55,103.55,91.25,91.8,1660945,2026-04-16 10:00:00
1776314100,91.9,98.15,88.5,90.3,1040390,2026-04-16 10:05:00
1776314400,90.45,93.7,88.0,89.05,807235,2026-04-16 10:10:00
1776314700,88.95,93.7,83.85,88.4,1104675,2026-04-16 10:15:00
1776315000,88.55,92.1,87.5,89.35,618670,2026-04-16 10:20:00
1776315300,89.45,93.9,85.1,90.0,829790,2026-04-16 10:25:00
1776315600,90.3,90.35,84.45,85.25,575315,2026-04-16 10:30:00
1776315900,85.6,91.35,81.4,89.7,908310,2026-04-16 10:35:00
1776316200,89.45,91.15,83.2,84.7,598910,2026-04-16 10:40:00
1776316500,84.75,84.85,80.3,81.4,787800,2026-04-16 10:45:00
1776316800,81.4,83.6,80.5,82.0,357110,2026-04-16 10:50:00
1776317100,82.0,86.35,82.0,84.5,446485,2026-04-16 10:55:00
1776317400,84.3,84.3,78.6,79.75,796120,2026-04-16 11:00:00
1776317700,79.95,82.2,77.85,79.3,813800,2026-04-16 11:05:00
1776318000,79.5,84.75,79.15,82.2,533585,2026-04-16 11:10:00
1776318300,82.2,89.95,80.85,83.15,1024725,2026-04-16 11:15:00
1776318600,82.5,86.85,80.05,86.25,793325,2026-04-16 11:20:00
1776318900,86.3,94.95,86.15,88.5,1118520,2026-04-16 11:25:00
1776319200,88.2,91.95,87.2,88.3,479050,2026-04-16 11:30:00
1776319500,88.3,96.15,87.8,92.95,752505,2026-04-16 11:35:00
1776319800,93.0,102.35,93.0,102.25,1752010,2026-04-16 11:40:00
1776320100,102.45,118.45,102.2,107.95,3402750,2026-04-16 11:45:00
1776320400,108.5,115.4,107.1,108.75,1533935,2026-04-16 11:50:00
1776320700,108.8,124.0,108.8,122.35,2148380,2026-04-16 11:55:00
1776321000,122.3,143.45,122.25,140.3,3589820,2026-04-16 12:00:00
1776321300,140.55,143.6,131.55,132.65,1858675,2026-04-16 12:05:00
1776321600,132.2,134.95,126.55,129.4,1375335,2026-04-16 12:10:00
1776321900,129.8,137.95,126.85,129.25,1126840,2026-04-16 12:15:00
1776322200,129.15,140.9,127.5,137.2,1045135,2026-04-16 12:20:00
1776322500,137.1,140.5,132.8,134.45,709345,2026-04-16 12:25:00
1776322800,134.6,143.1,131.1,142.8,1137175,2026-04-16 12:30:00
1776323100,142.9,151.85,137.75,137.75,2358005,2026-04-16 12:35:00
1776323400,138.05,143.4,133.3,142.3,1044550,2026-04-16 12:40:00
1776323700,142.05,146.0,136.65,143.7,1033695,2026-04-16 12:45:00
1776324000,143.8,146.65,135.2,145.5,1157455,2026-04-16 12:50:00
1776324300,145.2,148.0,137.35,138.95,1157455,2026-04-16 12:55:00
1776324600,138.4,140.75,133.05,134.55,900380,2026-04-16 13:00:00
1776324900,134.7,145.45,132.5,144.0,993460,2026-04-16 13:05:00
1776325200,143.6,153.0,141.8,144.0,1295710,2026-04-16 13:10:00
1776325500,144.05,148.9,136.55,138.4,805675,2026-04-16 13:15:00
1776325800,138.3,153.9,137.05,152.35,1155245,2026-04-16 13:20:00
1776326100,152.0,154.9,145.2,147.95,1358500,2026-04-16 13:25:00
1776326400,147.55,149.2,142.0,144.65,601120,2026-04-16 13:30:00
1776326700,144.75,148.6,143.05,145.45,483405,2026-04-16 13:35:00
1776327000,145.35,147.0,137.55,139.4,880815,2026-04-16 13:40:00
1776327300,139.55,139.55,133.1,133.7,896220,2026-04-16 13:45:00
1776327600,134.05,134.2,121.1,122.6,1709305,2026-04-16 13:50:00
1776327900,122.45,125.9,118.65,120.15,1030835,2026-04-16 13:55:00
1776328200,120.15,136.95,119.7,134.6,1249300,2026-04-16 14:00:00
1776328500,135.0,141.95,129.4,130.75,1313195,2026-04-16 14:05:00
1776328800,130.5,132.0,123.1,126.75,802100,2026-04-16 14:10:00
1776329100,126.8,132.05,125.55,126.95,534170,2026-04-16 14:15:00
1776329400,127.9,133.9,123.85,129.0,545220,2026-04-16 14:20:00
1776329700,129.05,129.1,116.95,117.2,815620,2026-04-16 14:25:00
1776330000,116.95,117.8,105.4,105.75,1694550,2026-04-16 14:30:00
1776330300,105.75,108.05,99.6,101.65,1398995,2026-04-16 14:35:00
1776330600,101.3,105.4,97.0,102.95,1036035,2026-04-16 14:40:00
1776330900,103.9,103.9,95.45,97.25,1143220,2026-04-16 14:45:00
1776331200,97.15,101.25,95.45,97.25,798785,2026-04-16 14:50:00
1776331500,97.15,102.6,96.75,100.05,824525,2026-04-16 14:55:00
1776331800,98.6,109.95,96.3,106.35,1887470,2026-04-16 15:00:00
1776332100,106.4,122.7,105.6,121.05,2003105,2026-04-16 15:05:00
1776332400,121.05,121.55,111.7,116.35,1502995,2026-04-16 15:10:00
1776332700,116.4,118.2,111.55,115.3,1145040,2026-04-16 15:15:00
1776333000,115.4,115.8,111.15,114.35,1189110,2026-04-16 15:20:00
1776333300,114.2,123.2,112.5,120.2,1775995,2026-04-16 15:25:00
