epoch,o,h,l,c,v,time
1776224700,179.95,179.95,85.2,90.85,416195,2026-04-15 09:15:00
1776224760,92.25,98.0,88.85,90.55,216970,2026-04-15 09:16:00
1776224820,90.65,93.75,89.35,92.1,169260,2026-04-15 09:17:00
1776224880,91.9,92.7,87.5,89.2,117390,2026-04-15 09:18:00
1776224940,89.7,90.45,88.2,89.6,59345,2026-04-15 09:19:00
1776225000,89.5,90.7,87.0,89.1,111020,2026-04-15 09:20:00
1776225060,89.45,95.0,88.35,94.25,101985,2026-04-15 09:21:00
1776225120,94.4,96.45,91.2,95.6,132340,2026-04-15 09:22:00
1776225180,95.8,96.75,91.65,93.15,108355,2026-04-15 09:23:00
1776225240,93.2,97.9,92.95,96.3,86385,2026-04-15 09:24:00
1776225300,96.5,97.95,94.75,95.0,106470,2026-04-15 09:25:00
1776225360,95.3,98.6,95.3,98.6,77350,2026-04-15 09:26:00
1776225420,97.75,105.6,97.0,105.2,209365,2026-04-15 09:27:00
1776225480,105.25,107.45,102.55,105.0,176540,2026-04-15 09:28:00
1776225540,105.35,106.95,103.15,104.15,83135,2026-04-15 09:29:00
1776225600,103.8,110.95,103.05,109.2,162045,2026-04-15 09:30:00
1776225660,109.5,112.5,109.0,109.45,135720,2026-04-15 09:31:00
1776225720,109.5,114.15,109.0,109.85,106925,2026-04-15 09:32:00
1776225780,109.7,114.95,108.45,113.6,104260,2026-04-15 09:33:00
1776225840,113.8,118.0,112.65,115.75,111800,2026-04-15 09:34:00
1776225900,116.25,117.45,113.65,116.15,61490,2026-04-15 09:35:00
1776225960,116.2,118.45,112.45,117.05,85995,2026-04-15 09:36:00
1776226020,116.75,117.45,114.6,116.0,50765,2026-04-15 09:37:00
1776226080,116.2,127.1,115.65,126.85,155675,2026-04-15 09:38:00
1776226140,127.1,128.65,123.25,125.45,156780,2026-04-15 09:39:00
1776226200,125.7,126.15,116.7,117.8,110955,2026-04-15 09:40:00
1776226260,117.8,118.7,114.65,116.1,74945,2026-04-15 09:41:00
1776226320,115.8,115.8,111.55,111.65,82355,2026-04-15 09:42:00
1776226380,111.3,111.95,105.7,105.95,101270,2026-04-15 09:43:00
1776226440,105.55,106.05,102.85,105.5,66430,2026-04-15 09:44:00
1776226500,105.55,105.55,100.05,100.35,78260,2026-04-15 09:45:00
1776226560,100.45,102.35,99.25,100.7,60775,2026-04-15 09:46:00
1776226620,100.55,102.4,99.6,101.25,69875,2026-04-15 09:47:00
1776226680,101.8,107.45,101.8,105.95,131560,2026-04-15 09:48:00
1776226740,105.95,108.15,104.7,108.1,96135,2026-04-15 09:49:00
1776226800,107.85,112.2,106.8,111.2,109200,2026-04-15 09:50:00
