epoch,o,h,l,c,v,time
1776224700,90.0,139.6,90.0,108.95,2065635,2026-04-15 09:15:00
1776224760,107.95,111.05,104.75,108.4,1228435,2026-04-15 09:16:00
1776224820,108.7,110.6,105.65,107.1,715260,2026-04-15 09:17:00
1776224880,106.4,111.4,105.3,109.2,724945,2026-04-15 09:18:00
1776224940,108.4,109.2,106.5,107.8,418275,2026-04-15 09:19:00
1776225000,107.9,109.5,106.6,107.95,445640,2026-04-15 09:20:00
1776225060,108.25,108.75,104.1,106.0,577980,2026-04-15 09:21:00
1776225120,105.95,108.6,104.5,106.4,554905,2026-04-15 09:22:00
1776225180,106.2,108.0,105.4,107.0,337350,2026-04-15 09:23:00
1776225240,106.9,107.35,104.25,104.75,300690,2026-04-15 09:24:00
1776225300,104.95,106.2,103.3,105.7,390975,2026-04-15 09:25:00
1776225360,105.35,105.6,103.85,104.25,195845,2026-04-15 09:26:00
1776225420,104.25,105.2,100.05,100.9,441415,2026-04-15 09:27:00
1776225480,100.95,103.15,100.65,102.55,372060,2026-04-15 09:28:00
1776225540,102.7,103.35,101.55,103.2,265200,2026-04-15 09:29:00
1776225600,103.15,103.6,100.35,101.95,305305,2026-04-15 09:30:00
1776225660,102.0,102.25,100.35,101.75,272025,2026-04-15 09:31:00
1776225720,101.55,102.8,100.65,102.6,313430,2026-04-15 09:32:00
1776225780,102.5,103.3,100.55,100.8,246740,2026-04-15 09:33:00
1776225840,101.05,101.5,98.4,100.55,501995,2026-04-15 09:34:00
1776225900,100.3,101.75,100.2,101.35,197015,2026-04-15 09:35:00
1776225960,101.7,103.95,101.5,103.0,312845,2026-04-15 09:36:00
1776226020,102.9,103.5,101.9,102.0,215215,2026-04-15 09:37:00
1776226080,101.75,102.5,97.75,97.75,388700,2026-04-15 09:38:00
1776226140,97.7,100.35,97.55,99.5,407615,2026-04-15 09:39:00
1776226200,99.45,102.75,98.7,102.75,371735,2026-04-15 09:40:00
1776226260,102.6,103.8,101.95,103.3,493740,2026-04-15 09:41:00
1776226320,103.35,105.65,103.1,105.65,604435,2026-04-15 09:42:00
1776226380,105.85,108.5,105.35,108.15,868400,2026-04-15 09:43:00
1776226440,108.8,109.6,106.8,106.85,598195,2026-04-15 09:44:00
1776226500,107.75,110.3,107.5,110.15,652795,2026-04-15 09:45:00
1776226560,110.2,111.1,109.05,110.5,517660,2026-04-15 09:46:00
1776226620,110.4,111.0,108.1,108.75,336700,2026-04-15 09:47:00
1776226680,108.85,108.85,103.1,104.9,727610,2026-04-15 09:48:00
1776226740,105.0,105.55,102.6,102.9,314990,2026-04-15 09:49:00
1776226800,102.55,103.45,99.6,100.55,434980,2026-04-15 09:50:00
1776226860,101.05,104.9,101.05,103.85,326560,2026-04-15 09:51:00
1776226920,104.3,107.85,104.15,107.15,443950,2026-04-15 09:52:00
1776226980,107.5,107.9,106.0,107.45,226980,2026-04-15 09:53:00
1776227040,107.45,108.6,105.6,105.6,333450,2026-04-15 09:54:00
1776227100,106.3,109.85,105.9,109.0,288665,2026-04-15 09:55:00
1776227160,109.0,109.15,107.5,108.65,160615,2026-04-15 09:56:00
1776227220,108.5,110.0,107.35,109.4,256360,2026-04-15 09:57:00
1776227280,109.4,109.5,105.0,106.5,338195,2026-04-15 09:58:00
1776227340,106.2,108.45,105.45,108.35,203515,2026-04-15 09:59:00
1776227400,108.0,109.8,107.95,108.6,242060,2026-04-15 10:00:00
1776227460,108.55,111.0,107.5,107.6,365690,2026-04-15 10:01:00
1776227520,107.7,108.5,105.7,107.5,234650,2026-04-15 10:02:00
1776227580,107.6,109.4,107.15,108.95,147485,2026-04-15 10:03:00
1776227640,109.05,110.35,108.25,110.3,236665,2026-04-15 10:04:00
1776227700,110.6,112.55,110.35,111.35,482950,2026-04-15 10:05:00
1776227760,111.0,113.05,110.65,112.3,302575,2026-04-15 10:06:00
1776227820,112.6,114.95,112.2,113.1,425490,2026-04-15 10:07:00
1776227880,113.5,113.65,110.0,111.45,328510,2026-04-15 10:08:00
1776227940,111.2,113.0,110.5,111.65,148070,2026-04-15 10:09:00
1776228000,111.35,114.2,111.25,113.5,223210,2026-04-15 10:10:00
1776228060,113.5,114.1,111.75,112.7,225160,2026-04-15 10:11:00
1776228120,112.8,114.6,112.45,112.65,244075,2026-04-15 10:12:00
1776228180,112.8,113.1,111.1,112.0,221910,2026-04-15 10:13:00
1776228240,111.85,112.3,111.0,112.0,135395,2026-04-15 10:14:00
1776228300,112.0,114.4,112.0,113.0,253630,2026-04-15 10:15:00
1776228360,113.1,114.35,112.45,113.8,150345,2026-04-15 10:16:00
1776228420,113.45,114.35,113.2,113.85,178555,2026-04-15 10:17:00
1776228480,113.7,116.1,113.0,115.9,307320,2026-04-15 10:18:00
1776228540,115.85,119.3,115.75,118.85,572975,2026-04-15 10:19:00
1776228600,118.95,120.3,117.6,119.5,446355,2026-04-15 10:20:00
1776228660,119.5,119.8,115.95,115.95,355030,2026-04-15 10:21:00
1776228720,115.95,117.95,114.0,117.75,380835,2026-04-15 10:22:00
1776228780,118.0,121.65,117.45,120.5,435955,2026-04-15 10:23:00
1776228840,120.75,121.75,118.4,118.9,302770,2026-04-15 10:24:00
1776228900,119.2,119.4,116.25,118.65,244660,2026-04-15 10:25:00
1776228960,118.75,119.75,117.35,118.0,163280,2026-04-15 10:26:00
1776229020,117.7,120.25,117.7,120.1,174005,2026-04-15 10:27:00
1776229080,120.1,120.25,117.75,117.95,119340,2026-04-15 10:28:00
1776229140,118.05,118.9,116.5,118.3,152360,2026-04-15 10:29:00
1776229200,118.1,123.75,118.1,122.8,571805,2026-04-15 10:30:00
1776229260,122.65,122.65,118.7,119.1,253240,2026-04-15 10:31:00
1776229320,119.25,120.75,118.0,119.6,199160,2026-04-15 10:32:00
1776229380,119.75,120.0,118.0,119.0,121940,2026-04-15 10:33:00
1776229440,118.9,120.1,115.7,117.65,296205,2026-04-15 10:34:00
1776229500,117.7,118.45,116.05,116.5,166140,2026-04-15 10:35:00
1776229560,116.65,117.9,113.1,113.25,305565,2026-04-15 10:36:00
1776229620,113.3,116.75,113.2,116.65,216255,2026-04-15 10:37:00
1776229680,115.5,117.45,115.5,115.95,138255,2026-04-15 10:38:00
1776229740,115.85,115.85,112.7,113.75,176085,2026-04-15 10:39:00
1776229800,114.0,116.4,113.75,115.65,127920,2026-04-15 10:40:00
1776229860,115.95,116.65,113.7,114.5,110890,2026-04-15 10:41:00
1776229920,114.75,115.95,114.3,115.9,121290,2026-04-15 10:42:00
1776229980,115.85,115.9,114.0,114.45,98670,2026-04-15 10:43:00
1776230040,114.5,114.6,111.65,113.65,224055,2026-04-15 10:44:00
1776230100,113.45,115.8,113.0,114.0,185575,2026-04-15 10:45:00
1776230160,113.95,115.0,113.15,113.65,103545,2026-04-15 10:46:00
1776230220,114.05,114.65,112.35,114.0,101010,2026-04-15 10:47:00
1776230280,114.05,115.95,113.1,114.5,147680,2026-04-15 10:48:00
1776230340,114.85,115.3,113.55,113.55,94250,2026-04-15 10:49:00
1776230400,113.65,113.9,108.6,109.1,563160,2026-04-15 10:50:00
1776230460,108.95,110.55,107.45,108.35,305890,2026-04-15 10:51:00
1776230520,108.6,108.8,106.35,106.5,239655,2026-04-15 10:52:00
1776230580,106.55,106.75,103.0,103.75,465205,2026-04-15 10:53:00
1776230640,103.7,108.55,103.55,107.55,362115,2026-04-15 10:54:00
1776230700,107.3,109.55,107.25,108.55,207480,2026-04-15 10:55:00
1776230760,108.0,108.9,107.15,108.2,91650,2026-04-15 10:56:00
1776230820,108.2,109.9,107.6,109.75,181545,2026-04-15 10:57:00
1776230880,109.95,110.35,107.4,107.6,179985,2026-04-15 10:58:00
1776230940,107.75,108.5,106.5,106.5,116220,2026-04-15 10:59:00
1776231000,106.75,106.75,103.8,104.6,296725,2026-04-15 11:00:00
1776231060,104.7,106.4,103.9,105.0,150995,2026-04-15 11:01:00
1776231120,105.2,106.85,105.05,105.45,134225,2026-04-15 11:02:00
1776231180,105.6,105.8,104.05,105.45,152555,2026-04-15 11:03:00
1776231240,105.35,106.35,104.75,105.45,130520,2026-04-15 11:04:00
1776231300,105.7,106.0,104.15,104.35,97240,2026-04-15 11:05:00
1776231360,104.3,104.5,102.75,103.7,225810,2026-04-15 11:06:00
1776231420,103.8,103.8,101.0,101.7,284960,2026-04-15 11:07:00
1776231480,101.95,103.6,101.85,102.8,134615,2026-04-15 11:08:00
1776231540,103.1,103.5,101.0,101.3,193310,2026-04-15 11:09:00
1776231600,101.6,102.0,98.7,99.05,371930,2026-04-15 11:10:00
1776231660,99.05,100.75,98.35,100.35,320450,2026-04-15 11:11:00
1776231720,100.55,101.5,99.15,99.7,276055,2026-04-15 11:12:00
1776231780,99.8,101.0,99.3,100.45,155740,2026-04-15 11:13:00
