epoch,o,h,l,c,v,time
1776656700,90.8,113.0,58.3,104.25,3462940,2026-04-20 09:15:00
1776656760,102.65,115.85,98.15,107.3,3130075,2026-04-20 09:16:00
1776656820,107.35,111.55,94.2,94.6,2657590,2026-04-20 09:17:00
1776656880,94.9,101.8,91.35,98.95,1898130,2026-04-20 09:18:00
1776656940,98.6,100.4,87.0,87.0,1590030,2026-04-20 09:19:00
1776657000,86.8,88.0,78.45,79.3,2219945,2026-04-20 09:20:00
1776657060,78.6,83.6,78.0,79.45,1323465,2026-04-20 09:21:00
1776657120,79.4,79.8,74.6,77.05,1250340,2026-04-20 09:22:00
1776657180,77.2,77.55,73.85,75.9,1061320,2026-04-20 09:23:00
1776657240,76.2,76.9,72.35,73.5,781235,2026-04-20 09:24:00
1776657300,73.45,74.9,67.05,69.1,1596335,2026-04-20 09:25:00
1776657360,69.15,76.3,68.3,74.9,1201460,2026-04-20 09:26:00
1776657420,75.65,75.95,72.0,72.35,899860,2026-04-20 09:27:00
1776657480,71.85,71.95,67.7,71.35,937430,2026-04-20 09:28:00
1776657540,71.2,74.7,70.8,74.7,619710,2026-04-20 09:29:00
1776657600,74.55,75.9,71.25,75.0,800085,2026-04-20 09:30:00
1776657660,75.4,79.45,75.4,77.6,1279135,2026-04-20 09:31:00
1776657720,77.9,88.2,76.85,84.85,1712425,2026-04-20 09:32:00
1776657780,85.1,85.15,75.05,77.5,1401855,2026-04-20 09:33:00
1776657840,77.8,84.0,77.05,79.0,963170,2026-04-20 09:34:00
1776657900,79.15,82.5,76.0,78.5,714090,2026-04-20 09:35:00
1776657960,78.8,82.7,75.8,80.75,743730,2026-04-20 09:36:00
1776658020,80.55,82.35,78.4,80.15,602485,2026-04-20 09:37:00
1776658080,79.95,84.3,77.35,82.6,834080,2026-04-20 09:38:00
1776658140,83.5,84.35,79.7,81.35,739765,2026-04-20 09:39:00
1776658200,82.45,86.1,81.3,82.35,1033630,2026-04-20 09:40:00
1776658260,82.05,87.35,78.6,86.75,1008280,2026-04-20 09:41:00
1776658320,87.6,90.55,83.7,87.5,1832870,2026-04-20 09:42:00
1776658380,87.0,95.4,86.8,94.8,2153450,2026-04-20 09:43:00
1776658440,94.55,99.45,93.15,97.4,2049970,2026-04-20 09:44:00
1776658500,97.25,101.95,95.8,97.75,2137590,2026-04-20 09:45:00
1776658560,98.3,103.1,96.95,103.1,1350245,2026-04-20 09:46:00
1776658620,103.7,109.15,103.7,106.25,2231645,2026-04-20 09:47:00
1776658680,106.35,107.9,103.85,106.45,1399580,2026-04-20 09:48:00
1776658740,106.9,107.0,100.0,103.15,1339715,2026-04-20 09:49:00
1776658800,101.95,107.65,101.95,103.4,1464385,2026-04-20 09:50:00
1776658860,102.85,104.55,98.05,102.0,1055600,2026-04-20 09:51:00
1776658920,101.95,102.85,97.1,99.55,737620,2026-04-20 09:52:00
1776658980,99.2,99.7,91.2,95.95,1609335,2026-04-20 09:53:00
1776659040,95.6,95.6,86.0,87.2,1286285,2026-04-20 09:54:00
1776659100,87.05,91.0,85.0,86.85,1234415,2026-04-20 09:55:00
1776659160,86.65,92.0,86.65,91.1,1267240,2026-04-20 09:56:00
1776659220,91.0,92.8,88.55,91.65,693810,2026-04-20 09:57:00
1776659280,91.55,93.4,89.7,91.0,660010,2026-04-20 09:58:00
1776659340,91.3,92.15,88.25,89.0,474175,2026-04-20 09:59:00
1776659400,89.25,91.9,87.55,88.3,529750,2026-04-20 10:00:00
1776659460,88.6,90.35,85.85,89.0,509535,2026-04-20 10:01:00
1776659520,89.35,90.65,83.0,83.4,782925,2026-04-20 10:02:00
1776659580,83.25,83.6,76.3,78.0,1605760,2026-04-20 10:03:00
1776659640,78.65,83.4,78.4,79.6,767585,2026-04-20 10:04:00
1776659700,79.6,80.15,77.55,78.15,511940,2026-04-20 10:05:00
1776659760,77.95,81.3,77.75,79.4,651495,2026-04-20 10:06:00
1776659820,79.7,80.25,75.7,76.1,615940,2026-04-20 10:07:00
1776659880,75.7,75.85,72.15,72.3,945295,2026-04-20 10:08:00
1776659940,72.9,73.1,69.9,71.0,1165060,2026-04-20 10:09:00
1776660000,70.7,73.6,70.25,70.55,760305,2026-04-20 10:10:00
1776660060,70.95,73.0,70.8,72.55,644995,2026-04-20 10:11:00
1776660120,72.55,77.2,71.55,76.85,872950,2026-04-20 10:12:00
1776660180,77.05,77.3,73.2,73.3,508885,2026-04-20 10:13:00
1776660240,73.6,75.3,71.5,73.0,453505,2026-04-20 10:14:00
1776660300,72.3,75.3,71.65,72.05,535730,2026-04-20 10:15:00
1776660360,72.0,72.8,70.5,71.35,547690,2026-04-20 10:16:00
1776660420,71.1,71.35,67.1,68.55,1822990,2026-04-20 10:17:00
1776660480,68.35,71.7,67.5,69.4,453310,2026-04-20 10:18:00
1776660540,69.55,70.85,68.5,68.9,441545,2026-04-20 10:19:00
1776660600,69.4,71.35,68.0,70.9,356785,2026-04-20 10:20:00
1776660660,71.0,74.2,70.6,70.95,657930,2026-04-20 10:21:00
1776660720,70.95,71.45,68.5,69.7,413205,2026-04-20 10:22:00
1776660780,69.7,70.15,67.6,67.75,397995,2026-04-20 10:23:00
1776660840,67.8,68.0,65.55,68.0,719680,2026-04-20 10:24:00
1776660900,68.1,70.9,67.4,68.6,548210,2026-04-20 10:25:00
1776660960,68.65,68.7,66.15,67.15,361920,2026-04-20 10:26:00
1776661020,67.0,69.35,66.6,67.3,259480,2026-04-20 10:27:00
1776661080,67.4,68.5,64.35,64.95,627315,2026-04-20 10:28:00
1776661140,64.45,66.25,64.0,64.6,465270,2026-04-20 10:29:00
1776661200,64.55,64.55,59.3,60.45,1649960,2026-04-20 10:30:00
1776661260,60.2,60.95,58.1,59.0,812110,2026-04-20 10:31:00
1776661320,59.1,59.8,56.75,57.15,1029730,2026-04-20 10:32:00
1776661380,56.8,59.1,56.1,57.15,633165,2026-04-20 10:33:00
1776661440,57.0,59.35,56.65,58.6,387920,2026-04-20 10:34:00
1776661500,58.5,59.1,56.85,57.35,438165,2026-04-20 10:35:00
1776661560,57.4,58.55,56.65,58.55,361075,2026-04-20 10:36:00
1776661620,58.35,58.7,56.8,57.4,273845,2026-04-20 10:37:00
1776661680,57.35,59.05,56.8,58.9,339300,2026-04-20 10:38:00
1776661740,58.95,60.5,57.3,58.0,670345,2026-04-20 10:39:00
1776661800,57.95,58.05,55.0,55.55,821665,2026-04-20 10:40:00
1776661860,55.6,56.55,55.1,56.3,378560,2026-04-20 10:41:00
1776661920,56.25,57.35,55.45,55.65,351585,2026-04-20 10:42:00
1776661980,55.95,56.85,54.4,54.95,458250,2026-04-20 10:43:00
1776662040,54.85,55.35,54.05,55.25,283205,2026-04-20 10:44:00
1776662100,55.75,57.9,55.75,57.7,546325,2026-04-20 10:45:00
1776662160,57.95,59.85,57.8,59.1,710385,2026-04-20 10:46:00
1776662220,58.8,59.5,57.0,57.65,508950,2026-04-20 10:47:00
1776662280,57.5,57.9,56.85,57.15,242840,2026-04-20 10:48:00
1776662340,57.35,58.95,57.35,57.55,264615,2026-04-20 10:49:00
1776662400,57.5,60.75,57.4,60.25,436020,2026-04-20 10:50:00
1776662460,60.35,62.65,60.0,61.9,639990,2026-04-20 10:51:00
1776662520,61.45,61.5,59.15,60.7,580710,2026-04-20 10:52:00
1776662580,60.95,60.95,59.15,59.3,288860,2026-04-20 10:53:00
1776662640,58.9,60.2,58.55,59.35,296985,2026-04-20 10:54:00
1776662700,59.2,62.0,59.05,61.2,405795,2026-04-20 10:55:00
1776662760,61.0,62.3,60.35,60.65,358475,2026-04-20 10:56:00
1776662820,60.35,60.55,58.65,59.15,308490,2026-04-20 10:57:00
1776662880,59.2,59.35,57.55,58.1,362050,2026-04-20 10:58:00
1776662940,58.05,58.9,57.55,57.55,203580,2026-04-20 10:59:00
1776663000,57.5,61.9,57.5,59.85,407290,2026-04-20 11:00:00
1776663060,59.75,61.25,59.0,60.4,296985,2026-04-20 11:01:00
1776663120,60.25,62.25,59.45,61.0,243880,2026-04-20 11:02:00
1776663180,61.05,61.8,58.85,59.05,242840,2026-04-20 11:03:00
1776663240,59.25,59.75,56.4,57.1,472485,2026-04-20 11:04:00
1776663300,57.6,58.9,57.0,57.25,317980,2026-04-20 11:05:00
1776663360,57.15,60.25,55.8,59.6,483600,2026-04-20 11:06:00
1776663420,59.7,59.7,58.2,59.3,268970,2026-04-20 11:07:00
1776663480,59.4,62.65,58.8,62.6,347230,2026-04-20 11:08:00
1776663540,62.55,64.65,62.5,63.75,667615,2026-04-20 11:09:00
1776663600,64.35,66.85,62.8,63.7,964990,2026-04-20 11:10:00
1776663660,64.25,65.35,63.7,65.0,396370,2026-04-20 11:11:00
1776663720,65.05,65.05,61.25,62.0,490945,2026-04-20 11:12:00
1776663780,62.7,62.9,60.0,60.15,354965,2026-04-20 11:13:00
1776663840,60.2,64.3,59.9,64.3,603525,2026-04-20 11:14:00
