epoch,o,h,l,c,v,time
1776224700,224.5,224.5,147.35,158.3,2377050,2026-04-15 09:15:00
1776225000,157.85,168.95,153.5,167.2,1418170,2026-04-15 09:20:00
1776225300,167.1,183.65,164.45,179.4,1676415,2026-04-15 09:25:00
1776225600,178.7,197.8,178.0,194.7,2149615,2026-04-15 09:30:00
1776225900,195.3,213.45,190.1,208.95,1916785,2026-04-15 09:35:00
1776226200,208.4,209.65,175.4,179.85,1764945,2026-04-15 09:40:00
1776226500,179.8,185.3,170.2,184.9,1469975,2026-04-15 09:45:00
1776226800,184.7,190.0,174.15,179.0,1129765,2026-04-15 09:50:00
1776227100,178.6,179.25,170.15,173.55,623350,2026-04-15 09:55:00
1776227400,173.4,177.4,167.05,168.35,770185,2026-04-15 10:00:00
1776227700,167.5,168.35,160.3,163.8,853775,2026-04-15 10:05:00
1776228000,164.0,164.25,156.35,160.0,1046045,2026-04-15 10:10:00
1776228300,159.8,159.9,154.05,155.6,556270,2026-04-15 10:15:00
1776228600,155.2,158.7,151.05,154.8,625040,2026-04-15 10:20:00
1776228900,155.5,157.6,153.5,154.95,493285,2026-04-15 10:25:00
1776229200,154.75,157.7,151.0,156.0,494455,2026-04-15 10:30:00
1776229500,155.45,160.0,154.75,158.6,621075,2026-04-15 10:35:00
1776229800,159.0,162.5,156.6,160.4,440375,2026-04-15 10:40:00
1776230100,160.3,160.8,155.15,159.05,382655,2026-04-15 10:45:00
1776230400,159.4,176.45,158.2,170.6,1482585,2026-04-15 10:50:00
1776230700,170.5,172.15,165.95,171.75,649155,2026-04-15 10:55:00
1776231000,171.85,177.5,169.0,173.25,784225,2026-04-15 11:00:00
1776231300,173.4,186.9,172.1,185.7,1202955,2026-04-15 11:05:00
1776231600,185.45,191.3,182.8,188.85,1159860,2026-04-15 11:10:00
1776231900,189.0,194.45,178.25,188.5,1267695,2026-04-15 11:15:00
1776232200,189.15,189.15,181.8,182.0,478920,2026-04-15 11:20:00
1776232500,182.7,189.9,182.55,186.25,503165,2026-04-15 11:25:00
1776232800,186.7,187.6,183.0,185.55,322270,2026-04-15 11:30:00
1776233100,185.2,185.2,179.5,180.45,401375,2026-04-15 11:35:00
1776233400,180.3,183.6,172.0,172.5,587600,2026-04-15 11:40:00
1776233700,171.9,178.1,164.85,165.75,621985,2026-04-15 11:45:00
1776234000,165.8,168.45,163.0,164.85,369265,2026-04-15 11:50:00
1776234300,165.25,168.15,163.7,166.0,297895,2026-04-15 11:55:00
1776234600,166.3,166.3,159.85,161.7,411580,2026-04-15 12:00:00
1776234900,161.75,165.5,161.75,164.3,209235,2026-04-15 12:05:00
1776235200,164.5,165.0,160.9,163.8,211250,2026-04-15 12:10:00
1776235500,163.5,169.6,161.1,168.25,411645,2026-04-15 12:15:00
1776235800,168.6,178.85,166.05,168.35,778245,2026-04-15 12:20:00
1776236100,168.8,169.35,161.0,167.85,424840,2026-04-15 12:25:00
1776236400,168.1,172.7,167.4,169.1,387465,2026-04-15 12:30:00
1776236700,168.85,170.1,162.1,165.3,319605,2026-04-15 12:35:00
1776237000,164.95,169.0,164.3,166.2,281515,2026-04-15 12:40:00
1776237300,166.1,176.7,163.0,173.25,473135,2026-04-15 12:45:00
1776237600,173.2,178.95,164.0,175.5,676455,2026-04-15 12:50:00
1776237900,175.45,178.75,171.85,178.4,409760,2026-04-15 12:55:00
1776238200,178.8,181.5,170.65,175.4,650260,2026-04-15 13:00:00
1776238500,175.45,180.4,172.7,172.85,391300,2026-04-15 13:05:00
1776238800,172.85,173.25,163.8,166.15,505180,2026-04-15 13:10:00
1776239100,167.05,170.2,162.4,162.8,345280,2026-04-15 13:15:00
1776239400,163.2,183.15,162.1,182.0,931385,2026-04-15 13:20:00
1776239700,182.15,183.8,176.5,182.1,759980,2026-04-15 13:25:00
1776240000,182.6,185.9,167.2,173.0,1034735,2026-04-15 13:30:00
1776240300,172.6,183.6,165.55,182.25,683150,2026-04-15 13:35:00
1776240600,182.45,184.15,169.0,170.3,752960,2026-04-15 13:40:00
1776240900,170.4,175.1,167.65,171.35,374725,2026-04-15 13:45:00
1776241200,171.25,177.5,169.55,176.35,421980,2026-04-15 13:50:00
1776241500,175.9,176.4,165.25,166.4,464880,2026-04-15 13:55:00
1776241800,166.6,166.95,161.1,163.4,462930,2026-04-15 14:00:00
1776242100,163.0,164.85,160.3,162.55,279435,2026-04-15 14:05:00
1776242400,162.6,168.0,157.65,162.7,673335,2026-04-15 14:10:00
1776242700,162.85,166.4,160.5,162.0,315575,2026-04-15 14:15:00
1776243000,162.05,164.0,158.0,163.5,404300,2026-04-15 14:20:00
1776243300,163.2,164.0,157.6,157.75,402155,2026-04-15 14:25:00
1776243600,157.85,162.75,154.15,159.1,586105,2026-04-15 14:30:00
1776243900,158.9,166.6,158.9,164.3,573235,2026-04-15 14:35:00
1776244200,164.45,165.3,160.65,164.3,350415,2026-04-15 14:40:00
1776244500,164.95,166.75,160.0,160.4,407420,2026-04-15 14:45:00
1776244800,160.85,163.8,154.35,157.3,667290,2026-04-15 14:50:00
1776245100,157.4,159.6,152.15,154.05,410995,2026-04-15 14:55:00
1776245400,154.0,163.4,152.9,160.1,716105,2026-04-15 15:00:00
1776245700,158.55,173.75,158.55,171.3,923000,2026-04-15 15:05:00
1776246000,171.2,173.5,167.9,171.0,471120,2026-04-15 15:10:00
1776246300,170.75,173.4,168.0,172.05,668915,2026-04-15 15:15:00
1776246600,172.5,173.0,169.6,173.0,458640,2026-04-15 15:20:00
1776246900,172.45,176.6,171.55,176.6,654940,2026-04-15 15:25:00
