epoch,o,h,l,c,v,time
1776224700,364.85,364.85,301.8,322.45,47255,2026-04-15 09:15:00
1776224760,323.75,343.45,322.5,328.25,27950,2026-04-15 09:16:00
1776224820,328.1,335.25,324.2,330.5,6890,2026-04-15 09:17:00
1776224880,330.5,332.0,318.5,323.65,14885,2026-04-15 09:18:00
1776224940,324.45,327.6,323.45,325.45,4745,2026-04-15 09:19:00
1776225000,326.45,326.45,320.0,322.9,5395,2026-04-15 09:20:00
1776225060,323.25,335.55,322.45,333.45,9620,2026-04-15 09:21:00
1776225120,334.0,340.0,326.0,334.95,11635,2026-04-15 09:22:00
1776225180,336.0,337.9,327.9,330.9,7410,2026-04-15 09:23:00
1776225240,332.35,340.0,331.45,337.75,5590,2026-04-15 09:24:00
1776225300,338.55,341.8,334.75,336.1,9425,2026-04-15 09:25:00
1776225360,336.95,342.1,336.05,342.1,9880,2026-04-15 09:26:00
1776225420,342.1,357.25,340.5,356.65,39455,2026-04-15 09:27:00
1776225480,357.6,360.3,352.5,357.05,17355,2026-04-15 09:28:00
1776225540,356.6,361.8,354.55,355.55,5200,2026-04-15 09:29:00
1776225600,354.1,368.55,353.95,364.65,12675,2026-04-15 09:30:00
1776225660,366.2,370.1,363.9,364.8,5265,2026-04-15 09:31:00
1776225720,364.8,371.8,363.7,365.9,3120,2026-04-15 09:32:00
1776225780,360.9,374.05,360.9,371.3,3250,2026-04-15 09:33:00
1776225840,369.5,380.0,369.5,376.0,6045,2026-04-15 09:34:00
1776225900,376.0,378.55,371.7,374.4,3705,2026-04-15 09:35:00
1776225960,374.4,378.0,367.4,374.35,4225,2026-04-15 09:36:00
1776226020,374.35,375.75,371.4,374.7,2275,2026-04-15 09:37:00
1776226080,373.95,396.4,373.95,396.15,6305,2026-04-15 09:38:00
1776226140,396.15,399.25,388.35,393.15,14300,2026-04-15 09:39:00
1776226200,392.75,394.8,376.65,377.4,12220,2026-04-15 09:40:00
1776226260,378.05,379.95,372.2,374.5,4160,2026-04-15 09:41:00
1776226320,372.2,372.8,364.8,367.05,6955,2026-04-15 09:42:00
1776226380,365.1,365.1,350.95,350.95,7280,2026-04-15 09:43:00
1776226440,349.95,351.3,345.35,351.0,9490,2026-04-15 09:44:00
1776226500,350.9,350.9,340.1,341.2,12805,2026-04-15 09:45:00
1776226560,340.45,344.55,338.8,340.85,6305,2026-04-15 09:46:00
1776226620,340.85,347.65,340.2,344.85,4485,2026-04-15 09:47:00
1776226680,346.45,358.0,346.45,355.15,11440,2026-04-15 09:48:00
1776226740,355.1,362.9,355.1,362.5,5460,2026-04-15 09:49:00
1776226800,361.8,369.0,359.95,367.9,6435,2026-04-15 09:50:00
1776226860,367.35,367.35,357.15,358.0,5525,2026-04-15 09:51:00
1776226920,360.15,360.4,348.95,351.35,6825,2026-04-15 09:52:00
1776226980,349.65,354.0,349.25,350.85,2340,2026-04-15 09:53:00
1776227040,347.45,351.9,345.35,348.55,4095,2026-04-15 09:54:00
1776227100,351.4,351.4,340.25,341.55,6890,2026-04-15 09:55:00
1776227160,341.55,347.15,341.55,344.8,4225,2026-04-15 09:56:00
1776227220,344.5,346.95,338.7,342.8,7020,2026-04-15 09:57:00
1776227280,341.7,352.6,341.7,348.5,7410,2026-04-15 09:58:00
1776227340,348.35,350.1,344.75,345.6,2730,2026-04-15 09:59:00
1776227400,344.0,344.0,338.65,340.85,3120,2026-04-15 10:00:00
1776227460,341.25,341.75,334.2,341.75,5005,2026-04-15 10:01:00
1776227520,345.45,349.05,342.7,346.2,5850,2026-04-15 10:02:00
1776227580,341.4,344.2,340.0,340.45,2340,2026-04-15 10:03:00
1776227640,338.0,341.45,335.0,336.5,3835,2026-04-15 10:04:00
1776227700,335.0,335.0,331.05,333.9,8775,2026-04-15 10:05:00
1776227760,333.9,333.9,327.3,327.75,5980,2026-04-15 10:06:00
1776227820,327.75,327.8,321.8,327.8,7670,2026-04-15 10:07:00
1776227880,326.3,332.7,325.0,330.05,7280,2026-04-15 10:08:00
1776227940,330.45,330.9,325.9,327.2,5070,2026-04-15 10:09:00
1776228000,328.05,328.2,320.4,322.45,4940,2026-04-15 10:10:00
1776228060,322.45,325.45,320.45,322.4,8320,2026-04-15 10:11:00
1776228120,321.3,322.0,316.55,320.95,11765,2026-04-15 10:12:00
1776228180,320.95,325.0,320.85,322.4,4940,2026-04-15 10:13:00
1776228240,322.75,324.25,321.65,324.2,3640,2026-04-15 10:14:00
1776228300,321.05,321.05,316.2,319.55,7150,2026-04-15 10:15:00
1776228360,319.0,320.85,317.45,318.1,2990,2026-04-15 10:16:00
1776228420,319.2,320.7,317.3,320.1,4550,2026-04-15 10:17:00
1776228480,320.2,321.0,314.4,315.6,6045,2026-04-15 10:18:00
1776228540,314.6,314.8,310.8,312.6,11440,2026-04-15 10:19:00
1776228600,313.0,313.0,307.35,308.75,8320,2026-04-15 10:20:00
1776228660,309.3,315.4,309.3,315.4,7150,2026-04-15 10:21:00
1776228720,315.75,319.5,313.75,314.35,8710,2026-04-15 10:22:00
1776228780,314.35,314.55,305.8,307.7,8450,2026-04-15 10:23:00
1776228840,307.9,313.05,306.95,313.0,4810,2026-04-15 10:24:00
1776228900,312.7,316.4,312.0,313.1,6045,2026-04-15 10:25:00
1776228960,312.4,315.1,311.65,315.1,5070,2026-04-15 10:26:00
1776229020,314.25,314.25,309.9,310.7,3315,2026-04-15 10:27:00
1776229080,310.6,314.9,310.35,314.6,2730,2026-04-15 10:28:00
1776229140,314.65,316.7,312.25,312.25,5395,2026-04-15 10:29:00
1776229200,312.5,312.7,305.0,308.25,17875,2026-04-15 10:30:00
1776229260,308.15,313.0,307.95,311.8,3770,2026-04-15 10:31:00
1776229320,312.55,313.45,309.6,313.45,4745,2026-04-15 10:32:00
1776229380,311.75,313.95,310.55,310.55,2925,2026-04-15 10:33:00
1776229440,311.65,316.4,310.0,313.95,4550,2026-04-15 10:34:00
1776229500,313.95,316.75,312.95,316.35,4355,2026-04-15 10:35:00
1776229560,316.6,322.95,314.1,322.8,6565,2026-04-15 10:36:00
1776229620,322.8,322.95,316.6,317.3,9165,2026-04-15 10:37:00
1776229680,318.3,318.3,314.85,317.2,4615,2026-04-15 10:38:00
1776229740,318.0,323.0,317.75,322.0,5590,2026-04-15 10:39:00
1776229800,322.0,322.3,318.0,318.65,2925,2026-04-15 10:40:00
1776229860,319.95,322.65,317.55,322.65,4355,2026-04-15 10:41:00
1776229920,321.4,321.75,319.05,319.25,3315,2026-04-15 10:42:00
1776229980,320.0,322.5,318.85,322.5,2535,2026-04-15 10:43:00
1776230040,322.5,327.0,322.5,324.15,10270,2026-04-15 10:44:00
1776230100,324.15,324.15,318.4,322.45,4875,2026-04-15 10:45:00
1776230160,323.45,323.45,319.9,321.75,2925,2026-04-15 10:46:00
1776230220,322.0,323.55,319.8,321.15,2925,2026-04-15 10:47:00
1776230280,321.15,322.1,316.1,320.0,2665,2026-04-15 10:48:00
1776230340,320.0,320.75,318.15,320.75,1365,2026-04-15 10:49:00
1776230400,321.65,332.25,320.8,331.05,17225,2026-04-15 10:50:00
1776230460,331.5,334.65,328.3,333.75,10855,2026-04-15 10:51:00
1776230520,332.5,337.9,332.5,335.65,7085,2026-04-15 10:52:00
1776230580,338.05,349.05,337.35,348.55,14170,2026-04-15 10:53:00
1776230640,348.35,348.9,336.0,339.8,9165,2026-04-15 10:54:00
1776230700,340.6,340.65,332.95,336.2,7020,2026-04-15 10:55:00
1776230760,339.5,341.85,337.75,339.0,6955,2026-04-15 10:56:00
1776230820,338.65,340.0,333.35,334.05,4940,2026-04-15 10:57:00
1776230880,334.1,341.45,333.35,340.85,5395,2026-04-15 10:58:00
1776230940,340.65,342.05,338.45,342.05,2925,2026-04-15 10:59:00
1776231000,342.85,350.4,342.85,347.25,12610,2026-04-15 11:00:00
1776231060,348.65,348.7,342.0,344.3,5460,2026-04-15 11:01:00
1776231120,343.3,343.3,338.25,339.85,3770,2026-04-15 11:02:00
1776231180,341.55,347.1,341.55,343.35,4095,2026-04-15 11:03:00
1776231240,344.0,344.3,341.0,342.95,2340,2026-04-15 11:04:00
1776231300,343.7,348.65,342.9,346.55,3445,2026-04-15 11:05:00
1776231360,349.2,353.0,348.7,351.2,10595,2026-04-15 11:06:00
1776231420,354.0,359.5,353.55,356.3,14235,2026-04-15 11:07:00
1776231480,356.6,356.6,352.05,353.75,6760,2026-04-15 11:08:00
1776231540,353.5,364.8,353.5,363.2,7930,2026-04-15 11:09:00
1776231600,362.6,370.35,360.7,370.35,12415,2026-04-15 11:10:00
1776231660,370.35,371.25,360.9,364.05,6695,2026-04-15 11:11:00
1776231720,363.45,366.7,359.8,365.9,5070,2026-04-15 11:12:00
1776231780,365.9,367.55,363.0,364.65,2535,2026-04-15 11:13:00
1776231840,366.3,366.5,362.0,366.3,5005,2026-04-15 11:14:00
1776231900,366.9,375.45,365.0,365.0,5265,2026-04-15 11:15:00
1776231960,364.0,365.95,361.45,361.45,8515,2026-04-15 11:16:00
1776232020,362.0,362.0,354.4,356.4,6890,2026-04-15 11:17:00
1776232080,357.0,360.3,351.55,360.3,6825,2026-04-15 11:18:00
1776232140,359.25,367.9,358.4,365.75,5525,2026-04-15 11:19:00
1776232200,365.8,365.8,359.25,360.8,3185,2026-04-15 11:20:00
1776232260,359.85,361.9,359.4,359.95,2275,2026-04-15 11:21:00
1776232320,358.65,360.7,356.7,359.95,2470,2026-04-15 11:22:00
1776232380,359.65,362.45,357.15,362.45,1495,2026-04-15 11:23:00
1776232440,363.6,363.6,356.45,356.6,1950,2026-04-15 11:24:00
1776232500,357.25,362.55,357.25,359.3,2665,2026-04-15 11:25:00
1776232560,359.65,366.3,359.65,366.0,2730,2026-04-15 11:26:00
1776232620,366.55,367.7,358.45,358.45,4355,2026-04-15 11:27:00
1776232680,357.7,365.2,357.6,361.35,4160,2026-04-15 11:28:00
