epoch,o,h,l,c,v,time
1776224700,63.0,101.4,63.0,77.7,1190150,2026-04-15 09:15:00
1776224760,77.05,80.15,74.6,77.7,820625,2026-04-15 09:16:00
1776224820,78.1,79.3,75.6,76.35,495495,2026-04-15 09:17:00
1776224880,76.65,80.05,75.15,77.85,357890,2026-04-15 09:18:00
1776224940,77.9,78.5,76.3,77.2,174460,2026-04-15 09:19:00
1776225000,77.65,78.5,76.25,77.3,260715,2026-04-15 09:20:00
1776225060,77.45,78.0,74.2,76.0,235560,2026-04-15 09:21:00
1776225120,75.85,77.8,74.9,76.55,187135,2026-04-15 09:22:00
1776225180,76.35,77.4,75.55,76.65,180570,2026-04-15 09:23:00
1776225240,76.7,76.9,74.5,74.9,203775,2026-04-15 09:24:00
1776225300,74.8,75.95,73.7,75.65,251615,2026-04-15 09:25:00
1776225360,75.65,75.65,74.4,74.55,158990,2026-04-15 09:26:00
1776225420,74.85,75.55,71.7,72.5,218400,2026-04-15 09:27:00
1776225480,72.6,74.1,71.85,73.65,184210,2026-04-15 09:28:00
1776225540,73.55,74.2,73.05,74.2,86775,2026-04-15 09:29:00
1776225600,74.25,74.4,72.0,72.95,187850,2026-04-15 09:30:00
1776225660,73.2,73.7,72.05,73.1,210340,2026-04-15 09:31:00
1776225720,73.1,73.9,72.3,73.8,359905,2026-04-15 09:32:00
1776225780,73.75,74.3,72.1,72.4,271180,2026-04-15 09:33:00
1776225840,72.25,72.8,70.7,72.15,252070,2026-04-15 09:34:00
1776225900,72.2,73.05,71.85,72.9,114465,2026-04-15 09:35:00
1776225960,72.95,74.7,72.85,74.05,182000,2026-04-15 09:36:00
1776226020,73.85,74.25,73.05,73.25,82355,2026-04-15 09:37:00
1776226080,73.05,73.55,70.4,70.4,173030,2026-04-15 09:38:00
1776226140,70.5,72.0,70.25,71.45,147745,2026-04-15 09:39:00
1776226200,71.6,73.85,71.0,73.8,178880,2026-04-15 09:40:00
1776226260,73.85,74.45,73.2,74.05,145145,2026-04-15 09:41:00
1776226320,74.0,75.85,74.0,75.85,215930,2026-04-15 09:42:00
1776226380,75.85,78.0,75.55,77.85,199485,2026-04-15 09:43:00
1776226440,78.2,78.6,76.5,76.55,432900,2026-04-15 09:44:00
1776226500,77.0,79.0,77.0,79.0,387400,2026-04-15 09:45:00
1776226560,79.0,79.45,78.1,79.1,296205,2026-04-15 09:46:00
1776226620,79.1,79.4,77.55,78.05,165750,2026-04-15 09:47:00
1776226680,78.0,78.0,73.7,75.15,266240,2026-04-15 09:48:00
1776226740,75.1,75.7,73.35,73.7,79560,2026-04-15 09:49:00
1776226800,73.5,74.1,71.1,71.8,216840,2026-04-15 09:50:00
1776226860,71.85,75.0,71.85,74.35,111735,2026-04-15 09:51:00
1776226920,74.4,77.15,74.4,76.6,189020,2026-04-15 09:52:00
1776226980,76.9,77.1,75.75,76.95,92040,2026-04-15 09:53:00
1776227040,76.85,77.65,75.5,75.5,100555,2026-04-15 09:54:00
1776227100,75.45,78.5,75.45,77.8,120380,2026-04-15 09:55:00
1776227160,77.85,78.0,76.85,77.4,93015,2026-04-15 09:56:00
1776227220,77.5,78.85,76.55,78.05,130845,2026-04-15 09:57:00
1776227280,78.2,78.3,74.95,76.2,149890,2026-04-15 09:58:00
1776227340,75.85,77.5,75.25,77.4,83395,2026-04-15 09:59:00
1776227400,77.0,78.4,77.0,77.55,76570,2026-04-15 10:00:00
1776227460,77.3,79.3,76.65,76.7,146185,2026-04-15 10:01:00
1776227520,76.9,77.5,75.35,76.85,109590,2026-04-15 10:02:00
1776227580,76.55,78.0,76.35,77.8,53820,2026-04-15 10:03:00
1776227640,78.0,78.7,77.2,78.6,97240,2026-04-15 10:04:00
1776227700,78.9,80.25,78.65,79.35,295555,2026-04-15 10:05:00
1776227760,79.1,80.75,78.9,80.25,190775,2026-04-15 10:06:00
1776227820,80.4,82.05,79.8,80.75,309205,2026-04-15 10:07:00
1776227880,80.7,81.0,78.3,79.3,141180,2026-04-15 10:08:00
1776227940,79.2,80.35,78.55,79.45,118885,2026-04-15 10:09:00
1776228000,79.45,81.3,79.0,80.75,122005,2026-04-15 10:10:00
1776228060,80.7,81.0,79.25,80.25,118365,2026-04-15 10:11:00
1776228120,80.2,81.4,79.85,80.0,98865,2026-04-15 10:12:00
1776228180,79.9,80.3,78.8,79.45,86775,2026-04-15 10:13:00
1776228240,79.5,79.75,78.75,79.45,60190,2026-04-15 10:14:00
1776228300,79.6,81.2,79.6,80.0,84305,2026-04-15 10:15:00
1776228360,80.2,81.2,79.8,80.75,73905,2026-04-15 10:16:00
1776228420,80.75,81.25,80.5,80.7,98085,2026-04-15 10:17:00
1776228480,80.75,82.65,80.25,82.25,163085,2026-04-15 10:18:00
1776228540,82.45,85.5,82.3,84.95,395005,2026-04-15 10:19:00
1776228600,84.65,85.95,83.8,85.35,227760,2026-04-15 10:20:00
1776228660,85.55,85.55,82.55,82.7,149565,2026-04-15 10:21:00
1776228720,82.6,84.3,81.35,84.1,156000,2026-04-15 10:22:00
1776228780,84.3,87.15,83.85,86.3,255710,2026-04-15 10:23:00
1776228840,86.4,87.1,84.6,85.1,235755,2026-04-15 10:24:00
1776228900,85.2,85.3,83.0,84.55,122785,2026-04-15 10:25:00
1776228960,84.75,85.6,84.0,84.25,67990,2026-04-15 10:26:00
1776229020,84.1,86.0,84.05,85.95,68900,2026-04-15 10:27:00
1776229080,85.8,85.8,84.1,84.25,108680,2026-04-15 10:28:00
1776229140,84.5,84.85,83.2,84.5,96460,2026-04-15 10:29:00
1776229200,84.4,88.8,84.35,87.75,329290,2026-04-15 10:30:00
1776229260,87.6,87.6,84.7,85.35,144170,2026-04-15 10:31:00
1776229320,85.3,86.45,84.2,85.55,104585,2026-04-15 10:32:00
1776229380,85.65,85.65,84.15,85.0,48750,2026-04-15 10:33:00
