epoch,o,h,l,c,v,time
1776397500,65.0,76.0,41.05,72.0,3148340,2026-04-17 09:15:00
1776397800,72.6,78.2,69.95,70.1,1739400,2026-04-17 09:20:00
1776398100,70.7,79.15,70.5,78.1,1162525,2026-04-17 09:25:00
1776398400,77.75,79.05,69.15,69.75,1147510,2026-04-17 09:30:00
1776398700,69.15,74.3,63.15,69.9,1546740,2026-04-17 09:35:00
1776399000,69.8,73.7,63.0,65.65,1072760,2026-04-17 09:40:00
1776399300,65.8,74.05,64.45,72.8,826735,2026-04-17 09:45:00
1776399600,72.9,75.9,71.9,74.4,1051115,2026-04-17 09:50:00
1776399900,73.8,79.75,71.05,75.4,1193790,2026-04-17 09:55:00
1776400200,75.0,85.75,69.05,85.45,1897025,2026-04-17 10:00:00
1776400500,85.4,92.45,84.05,87.5,2386280,2026-04-17 10:05:00
1776400800,87.65,89.75,83.8,89.65,1302340,2026-04-17 10:10:00
1776401100,89.7,97.95,89.7,92.0,2124850,2026-04-17 10:15:00
1776401400,92.4,95.0,90.75,94.1,1112215,2026-04-17 10:20:00
1776401700,93.7,101.65,93.7,94.8,1975805,2026-04-17 10:25:00
1776402000,94.65,98.3,86.65,89.55,1757405,2026-04-17 10:30:00
1776402300,89.4,91.25,83.0,83.85,1412385,2026-04-17 10:35:00
1776402600,84.1,88.8,81.2,86.85,1404325,2026-04-17 10:40:00
1776402900,86.95,89.9,84.3,86.2,983580,2026-04-17 10:45:00
1776403200,86.2,87.6,83.0,85.35,599950,2026-04-17 10:50:00
1776403500,85.05,87.55,83.2,83.4,537485,2026-04-17 10:55:00
1776403800,83.0,85.45,77.05,80.7,1399710,2026-04-17 11:00:00
1776404100,80.85,84.75,79.1,82.4,860795,2026-04-17 11:05:00
1776404400,82.6,89.35,82.45,85.75,1467115,2026-04-17 11:10:00
1776404700,85.8,89.6,85.8,89.0,841945,2026-04-17 11:15:00
1776405000,89.1,90.7,86.8,87.95,842985,2026-04-17 11:20:00
1776405300,87.85,90.5,84.85,87.75,773305,2026-04-17 11:25:00
1776405600,88.0,91.6,86.6,90.85,909090,2026-04-17 11:30:00
1776405900,90.85,93.4,88.85,90.75,1222130,2026-04-17 11:35:00
1776406200,90.6,98.0,90.0,94.2,1246310,2026-04-17 11:40:00
1776406500,94.25,94.6,87.0,88.95,1004575,2026-04-17 11:45:00
1776406800,89.05,102.9,88.95,100.9,1825265,2026-04-17 11:50:00
1776407100,100.85,103.95,88.15,88.85,1994135,2026-04-17 11:55:00
1776407400,88.15,89.85,85.1,86.35,1439815,2026-04-17 12:00:00
1776407700,86.05,90.45,84.35,89.0,1145560,2026-04-17 12:05:00
1776408000,88.9,91.0,87.25,90.85,667355,2026-04-17 12:10:00
1776408300,90.9,93.0,89.05,90.25,719485,2026-04-17 12:15:00
1776408600,90.15,92.0,88.3,91.85,529685,2026-04-17 12:20:00
1776408900,91.8,92.05,88.75,88.9,428740,2026-04-17 12:25:00
1776409200,88.55,89.9,84.8,85.1,959920,2026-04-17 12:30:00
1776409500,84.95,87.65,83.8,84.15,577525,2026-04-17 12:35:00
1776409800,84.05,87.55,82.8,84.75,875290,2026-04-17 12:40:00
1776410100,85.2,87.0,82.15,85.0,651560,2026-04-17 12:45:00
1776410400,85.3,86.15,80.2,80.85,601965,2026-04-17 12:50:00
1776410700,81.2,83.9,80.65,82.75,331630,2026-04-17 12:55:00
1776411000,82.9,84.85,81.8,83.3,458510,2026-04-17 13:00:00
1776411300,83.25,90.3,83.0,88.7,991640,2026-04-17 13:05:00
1776411600,88.75,91.9,88.4,89.75,972075,2026-04-17 13:10:00
1776411900,89.55,91.0,83.8,84.1,786955,2026-04-17 13:15:00
1776412200,84.5,90.35,83.9,85.55,822575,2026-04-17 13:20:00
1776412500,85.6,91.1,83.9,90.9,956800,2026-04-17 13:25:00
1776412800,91.6,92.7,89.25,92.6,797290,2026-04-17 13:30:00
1776413100,92.8,96.7,89.65,95.7,953615,2026-04-17 13:35:00
1776413400,94.7,102.05,93.0,93.1,2133755,2026-04-17 13:40:00
1776413700,93.65,96.3,93.15,94.7,817180,2026-04-17 13:45:00
1776414000,94.6,95.6,90.8,94.45,797355,2026-04-17 13:50:00
1776414300,94.65,95.5,90.0,93.1,754715,2026-04-17 13:55:00
1776414600,93.35,96.95,91.3,92.2,935350,2026-04-17 14:00:00
1776414900,92.4,98.0,91.35,96.0,789555,2026-04-17 14:05:00
1776415200,96.0,99.45,93.0,94.6,1128790,2026-04-17 14:10:00
1776415500,94.85,99.0,93.45,97.45,956735,2026-04-17 14:15:00
1776415800,97.15,101.9,95.25,98.95,1421225,2026-04-17 14:20:00
1776416100,99.1,99.5,92.0,92.25,1025440,2026-04-17 14:25:00
1776416400,92.45,97.0,91.2,96.85,765765,2026-04-17 14:30:00
1776416700,96.95,102.95,95.9,101.0,1566370,2026-04-17 14:35:00
1776417000,100.65,112.0,99.65,111.3,2514785,2026-04-17 14:40:00
1776417300,110.25,120.0,108.5,112.6,3130790,2026-04-17 14:45:00
1776417600,112.7,117.25,111.0,114.2,1451515,2026-04-17 14:50:00
1776417900,114.0,115.75,110.0,112.55,1222910,2026-04-17 14:55:00
1776418200,112.95,116.5,101.85,111.5,2325635,2026-04-17 15:00:00
1776418500,111.9,115.0,109.05,112.35,1410630,2026-04-17 15:05:00
1776418800,111.5,113.5,110.55,112.0,766805,2026-04-17 15:10:00
1776419100,111.9,112.4,107.8,111.25,1229605,2026-04-17 15:15:00
1776419400,111.0,113.25,106.55,112.2,1347190,2026-04-17 15:20:00
1776419700,112.15,119.85,111.1,119.2,1254955,2026-04-17 15:25:00
