epoch,o,h,l,c,v,time,vwap
1777520700,30.0,30.7,21.35,26.95,473980,2026-04-30 09:15:00,26.95
1777520760,26.95,31.85,26.75,31.2,285935,2026-04-30 09:16:00,28.54915747155932
1777520820,31.45,32.1,29.45,29.85,232050,2026-04-30 09:17:00,28.853463075814165
1777520880,29.85,31.1,29.45,29.7,174980,2026-04-30 09:18:00,28.980398819138863
1777520940,29.45,33.35,29.45,32.65,175955,2026-04-30 09:19:00,29.46121248789932
1777521000,32.5,37.75,31.8,36.4,330005,2026-04-30 09:20:00,30.82998989781249
1777521060,36.35,41.05,35.7,40.45,284115,2026-04-30 09:21:00,32.226597582037996
1777521120,40.8,44.25,40.3,40.6,367835,2026-04-30 09:22:00,33.55142449744178
1777521180,40.7,41.35,38.85,41.0,300625,2026-04-30 09:23:00,34.404307783719545
1777521240,41.1,41.8,38.5,39.15,184405,2026-04-30 09:24:00,34.715754470378684
1777521300,39.6,40.95,38.3,39.55,160940,2026-04-30 09:25:00,34.97764248988076
1777521360,39.4,41.35,39.25,40.15,124540,2026-04-30 09:26:00,35.18574893429369
1777521420,40.2,44.65,40.2,42.65,256685,2026-04-30 09:27:00,35.75732790382005
1777521480,42.6,43.8,40.35,42.85,154375,2026-04-30 09:28:00,36.06959217721754
1777521540,43.0,44.45,42.4,43.5,128245,2026-04-30 09:29:00,36.33176526342144
1777521600,44.25,44.25,41.6,41.65,160095,2026-04-30 09:30:00,36.55613298847228
1777521660,41.65,42.7,40.45,41.85,133055,2026-04-30 09:31:00,36.735462864897066
1777521720,41.8,41.8,38.65,39.35,174915,2026-04-30 09:32:00,36.84693040130547
1777521780,39.4,41.25,39.1,39.5,140725,2026-04-30 09:33:00,36.93491360823479
1777521840,39.7,40.9,37.35,37.4,108095,2026-04-30 09:34:00,36.94646660791372
1777521900,37.6,39.45,36.6,38.4,94900,2026-04-30 09:35:00,36.97748914584765
1777521960,38.5,41.45,38.5,38.85,121940,2026-04-30 09:36:00,37.027470369790706
1777522020,38.8,40.55,38.5,40.4,75790,2026-04-30 09:37:00,37.08250780276841
1777522080,40.3,41.05,38.05,39.0,66625,2026-04-30 09:38:00,37.109626900681626
1777522140,38.95,39.3,37.65,38.6,55120,2026-04-30 09:39:00,37.126863697116825
1777522200,38.6,41.45,38.6,40.05,68445,2026-04-30 09:40:00,37.168249411764705
1777522260,40.1,40.55,37.65,38.0,62985,2026-04-30 09:41:00,37.17894656508813
1777522320,38.05,38.4,35.7,35.8,102635,2026-04-30 09:42:00,37.1506409006409
1777522380,35.7,36.6,35.45,36.45,104455,2026-04-30 09:43:00,37.13630332357061
1777522440,36.4,37.2,35.5,35.85,82160,2026-04-30 09:44:00,37.115927262701454
1777522500,35.8,36.8,34.55,35.9,156325,2026-04-30 09:45:00,37.080351342473755
1777522560,36.0,36.0,34.2,34.95,95810,2026-04-30 09:46:00,37.042822654858796
1777522620,34.9,37.2,34.85,37.2,70720,2026-04-30 09:47:00,37.04484019773245
1777522680,37.2,38.4,37.0,38.35,146575,2026-04-30 09:48:00,37.07866311942631
1777522740,38.7,40.15,37.65,39.65,248170,2026-04-30 09:49:00,37.18674340004844
1777522800,39.6,42.25,39.2,40.9,180895,2026-04-30 09:50:00,37.297129260711195
1777522860,41.2,42.5,39.15,39.15,231985,2026-04-30 09:51:00,37.36517296729982
1777522920,39.15,40.95,38.1,40.15,144430,2026-04-30 09:52:00,37.42742032834379
1777522980,40.15,40.55,38.7,40.15,50180,2026-04-30 09:53:00,37.448400878418845
1777523040,40.0,42.0,39.25,42.0,111215,2026-04-30 09:54:00,37.524833400398464
1777523100,42.05,42.15,40.5,41.35,183300,2026-04-30 09:55:00,37.627849987107375
1777523160,41.5,44.55,40.9,44.55,161070,2026-04-30 09:56:00,37.787876554497196
1777523220,44.5,45.5,43.85,45.2,174070,2026-04-30 09:57:00,37.96854651533217
1777523280,45.05,47.95,45.0,47.05,225095,2026-04-30 09:58:00,38.24604650136769
1777523340,46.5,47.65,45.2,47.0,187005,2026-04-30 09:59:00,38.46277289664134
1777523400,47.3,53.0,46.65,50.9,306150,2026-04-30 10:00:00,38.947231985576884
1777523460,51.15,53.4,50.65,51.55,234000,2026-04-30 10:01:00,39.3115996209353
1777523520,51.3,52.55,50.3,52.35,129545,2026-04-30 10:02:00,39.51700260848945
1777523580,52.6,52.9,50.7,51.4,141180,2026-04-30 10:03:00,39.71757355341073
1777523640,51.35,54.75,51.35,53.6,115635,2026-04-30 10:04:00,39.90687791753857
1777523700,53.65,56.25,51.55,52.2,225355,2026-04-30 10:05:00,40.22511050713816
1777523760,52.2,53.4,51.65,52.1,69225,2026-04-30 10:06:00,40.318795048632154
1777523820,52.0,52.85,50.65,52.65,94640,2026-04-30 10:07:00,40.450377063957966
1777523880,52.8,55.65,52.8,54.1,150930,2026-04-30 10:08:00,40.67877078063861
1777523940,54.85,58.9,54.0,55.9,234065,2026-04-30 10:09:00,41.06375972803641
1777524000,56.0,56.8,54.8,54.95,104195,2026-04-30 10:10:00,41.21836742490016
1777524060,54.95,58.15,54.65,56.9,147030,2026-04-30 10:11:00,41.46093156998571
1777524120,56.95,60.25,56.9,58.3,228410,2026-04-30 10:12:00,41.85607074410188
1777524180,58.35,60.9,57.65,59.0,149175,2026-04-30 10:13:00,42.11484320534575
1777524240,59.0,61.0,58.05,59.4,85215,2026-04-30 10:14:00,42.262608488689786
1777524300,59.1,61.2,57.0,57.6,134940,2026-04-30 10:15:00,42.46745832609549
1777524360,57.7,60.0,56.55,60.0,110370,2026-04-30 10:16:00,42.6569197039413
1777524420,60.0,67.45,60.0,65.3,396045,2026-04-30 10:17:00,43.50216481644856
1777524480,65.9,66.8,61.9,61.9,235690,2026-04-30 10:18:00,43.901988312855856
1777524540,61.0,61.2,58.1,59.9,136175,2026-04-30 10:19:00,44.100371422652344
1777524600,59.85,63.4,58.4,60.9,193700,2026-04-30 10:20:00,44.391561727497454
1777524660,61.2,61.45,58.0,59.25,111410,2026-04-30 10:21:00,44.53823017870409
1777524720,58.8,61.7,57.9,60.75,88985,2026-04-30 10:22:00,44.66504674072043
1777524780,60.65,62.25,60.05,61.7,82290,2026-04-30 10:23:00,44.78739178778493
1777524840,62.0,64.95,61.55,62.0,133575,2026-04-30 10:24:00,44.985743765736366
1777524900,61.75,63.65,60.5,62.1,98475,2026-04-30 10:25:00,45.12991370298703
1777524960,62.05,63.6,61.6,63.35,62335,2026-04-30 10:26:00,45.226555145655766
1777525020,62.9,63.3,59.35,59.55,98345,2026-04-30 10:27:00,45.345422233923514
1777525080,59.6,61.65,59.6,60.75,31720,2026-04-30 10:28:00,45.38654515218485
1777525140,60.85,61.6,59.95,61.3,38935,2026-04-30 10:29:00,45.43851899914396
1777525200,61.1,61.4,58.15,58.6,46475,2026-04-30 10:30:00,45.489630019878554
1777525260,58.85,59.6,57.5,58.0,75920,2026-04-30 10:31:00,45.56849249268698
1777525320,58.25,59.05,57.2,58.75,54925,2026-04-30 10:32:00,45.62833407653749
1777525380,58.9,59.75,57.95,59.2,48880,2026-04-30 10:33:00,45.68294521171
1777525440,59.15,62.3,59.05,59.05,82810,2026-04-30 10:34:00,45.77345275488023
1777525500,59.1,60.1,55.7,56.25,79950,2026-04-30 10:35:00,45.841494136345155
1777525560,56.6,57.45,55.5,56.35,58435,2026-04-30 10:36:00,45.89114122951767
1777525620,56.3,58.7,55.5,56.0,50310,2026-04-30 10:37:00,45.9320930597718
1777525680,55.85,56.4,54.35,56.1,92300,2026-04-30 10:38:00,46.00710567331671
1777525740,55.9,56.1,53.25,54.0,85085,2026-04-30 10:39:00,46.06109583103272
1777525800,54.2,54.65,53.0,54.65,82030,2026-04-30 10:40:00,46.11666692300988
1777525860,54.8,56.05,53.7,55.8,62010,2026-04-30 10:41:00,46.16379786229943
1777525920,56.15,57.25,54.9,56.8,92820,2026-04-30 10:42:00,46.24072774054996
1777525980,56.85,57.85,54.65,55.05,63960,2026-04-30 10:43:00,46.284415145879635
1777526040,55.25,55.4,52.5,54.4,67860,2026-04-30 10:44:00,46.32689297657186
1777526100,54.35,58.85,53.95,58.65,95680,2026-04-30 10:45:00,46.41716990240528
1777526160,58.85,59.85,57.0,59.45,83915,2026-04-30 10:46:00,46.50037161761215
1777526220,59.4,60.7,58.25,60.45,76960,2026-04-30 10:47:00,46.58156980059781
1777526280,60.4,60.8,59.05,59.8,51805,2026-04-30 10:48:00,46.63316054944786
1777526340,59.8,61.5,59.55,61.15,48620,2026-04-30 10:49:00,46.68614145682181
1777526400,61.15,63.45,61.15,61.55,173875,2026-04-30 10:50:00,46.877641743888105
1777526460,61.75,61.9,58.9,59.8,101140,2026-04-30 10:51:00,46.97376376778339
1777526520,59.6,62.85,58.4,62.2,110110,2026-04-30 10:52:00,47.096077352782174
1777526580,62.25,62.7,60.3,60.9,50115,2026-04-30 10:53:00,47.146362609792625
1777526640,60.95,63.65,60.95,62.55,69615,2026-04-30 10:54:00,47.223916650996614
1777526700,62.25,64.95,62.0,64.5,135655,2026-04-30 10:55:00,47.391765864240924
1777526760,64.45,68.1,64.45,67.7,164710,2026-04-30 10:56:00,47.628541554515714
1777526820,67.8,68.4,62.7,63.2,121160,2026-04-30 10:57:00,47.76095276111403
1777526880,63.35,64.4,61.3,62.7,85995,2026-04-30 10:58:00,47.85057566386128
1777526940,62.5,63.5,61.8,62.3,38935,2026-04-30 10:59:00,47.8897169952109
1777527000,62.25,62.4,59.4,59.55,64870,2026-04-30 11:00:00,47.94210624648284
1777527060,59.65,61.15,59.35,59.65,39650,2026-04-30 11:01:00,47.974170426740294
1777527120,59.8,60.0,57.55,58.7,56875,2026-04-30 11:02:00,48.01614127275167
1777527180,58.6,59.7,57.25,59.7,39715,2026-04-30 11:03:00,48.047979671841624
1777527240,59.6,61.35,58.85,59.85,35750,2026-04-30 11:04:00,48.07685844704166
1777527300,59.9,60.1,57.25,57.3,58500,2026-04-30 11:05:00,48.11364131855666
1777527360,57.1,57.5,56.15,57.0,52845,2026-04-30 11:06:00,48.14554030306777
1777527420,56.95,58.4,55.55,58.4,43355,2026-04-30 11:07:00,48.17565121879279
1777527480,58.25,60.0,57.8,59.15,64675,2026-04-30 11:08:00,48.22351301359656
1777527540,59.3,59.55,55.7,55.75,49205,2026-04-30 11:09:00,48.248403690646256
1777527600,55.75,56.95,55.6,56.4,51675,2026-04-30 11:10:00,48.27661690567615
1777527660,57.0,58.7,57.0,58.65,39585,2026-04-30 11:11:00,48.30404720655473
1777527720,59.0,59.5,58.0,58.8,46670,2026-04-30 11:12:00,48.336667460231574
1777527780,58.7,61.15,58.45,60.0,79755,2026-04-30 11:13:00,48.398285483009836
