epoch,o,h,l,c,v,time
1775706300,342.0,388.3,325.05,382.4,101270,2026-04-09 09:15:00
1775706360,382.05,390.5,373.3,374.05,41015,2026-04-09 09:16:00
1775706420,372.6,379.05,362.0,363.3,47125,2026-04-09 09:17:00
1775706480,364.65,364.65,358.25,361.75,21710,2026-04-09 09:18:00
1775706540,359.7,362.65,350.6,350.6,21255,2026-04-09 09:19:00
1775706600,353.65,355.4,342.0,347.8,28015,2026-04-09 09:20:00
1775706660,349.0,352.45,342.15,344.1,47060,2026-04-09 09:21:00
1775706720,344.05,345.0,338.4,344.8,17940,2026-04-09 09:22:00
1775706780,344.75,346.5,342.35,346.25,29575,2026-04-09 09:23:00
1775706840,346.9,346.9,333.35,335.55,31460,2026-04-09 09:24:00
1775706900,336.0,339.55,334.0,336.55,38155,2026-04-09 09:25:00
1775706960,338.2,339.15,335.9,337.2,39130,2026-04-09 09:26:00
1775707020,337.5,339.25,332.7,335.0,37570,2026-04-09 09:27:00
1775707080,336.45,339.55,333.45,337.4,11375,2026-04-09 09:28:00
1775707140,337.5,341.85,336.0,336.25,14040,2026-04-09 09:29:00
1775707200,336.85,348.0,333.25,347.4,21190,2026-04-09 09:30:00
1775707260,347.4,358.0,346.75,355.0,24245,2026-04-09 09:31:00
1775707320,355.95,363.2,348.8,361.75,14495,2026-04-09 09:32:00
1775707380,361.75,368.0,360.75,366.8,27495,2026-04-09 09:33:00
1775707440,367.75,371.0,361.3,370.95,19825,2026-04-09 09:34:00
1775707500,371.0,372.0,360.05,361.55,18070,2026-04-09 09:35:00
1775707560,361.15,363.4,354.05,355.5,21970,2026-04-09 09:36:00
1775707620,357.75,366.65,355.7,364.7,15145,2026-04-09 09:37:00
1775707680,364.3,371.5,363.15,370.35,13975,2026-04-09 09:38:00
1775707740,370.35,374.75,367.9,369.5,24245,2026-04-09 09:39:00
1775707800,368.9,370.8,364.0,368.75,6955,2026-04-09 09:40:00
1775707860,371.5,381.45,371.5,381.45,13325,2026-04-09 09:41:00
1775707920,379.75,384.5,377.75,382.2,27365,2026-04-09 09:42:00
1775707980,382.6,385.0,380.55,384.9,5395,2026-04-09 09:43:00
1775708040,384.3,388.95,382.35,387.0,9815,2026-04-09 09:44:00
1775708100,382.5,386.95,376.9,386.6,15925,2026-04-09 09:45:00
1775708160,388.75,393.7,384.65,384.65,32630,2026-04-09 09:46:00
1775708220,386.3,397.0,385.95,397.0,40365,2026-04-09 09:47:00
1775708280,396.75,402.75,396.0,402.75,34580,2026-04-09 09:48:00
1775708340,403.05,416.45,402.1,415.55,29835,2026-04-09 09:49:00
1775708400,415.55,422.0,415.55,420.8,36270,2026-04-09 09:50:00
1775708460,420.8,435.0,418.0,430.15,30225,2026-04-09 09:51:00
1775708520,427.1,430.25,414.9,415.0,18265,2026-04-09 09:52:00
1775708580,415.4,427.2,414.45,426.0,7345,2026-04-09 09:53:00
1775708640,426.0,428.65,424.1,427.9,4355,2026-04-09 09:54:00
1775708700,427.6,438.75,426.35,431.15,14365,2026-04-09 09:55:00
1775708760,432.75,434.8,429.3,431.8,12090,2026-04-09 09:56:00
