epoch,o,h,l,c,v,time
1776397500,57.8,63.05,44.15,46.55,3134950,2026-04-17 09:15:00
1776397800,46.4,47.85,44.1,47.6,515775,2026-04-17 09:20:00
1776398100,47.35,47.7,42.5,42.6,547495,2026-04-17 09:25:00
1776398400,42.7,49.1,42.3,48.85,541320,2026-04-17 09:30:00
1776398700,48.7,53.45,44.7,46.4,1187680,2026-04-17 09:35:00
1776399000,46.35,50.75,43.7,47.25,583245,2026-04-17 09:40:00
1776399300,47.2,48.2,42.9,43.75,498940,2026-04-17 09:45:00
1776399600,43.55,43.55,41.55,42.6,322335,2026-04-17 09:50:00
1776399900,42.5,43.8,39.5,40.4,555685,2026-04-17 09:55:00
1776400200,40.45,43.8,37.5,37.9,488865,2026-04-17 10:00:00
1776400500,37.8,38.0,35.75,36.6,526825,2026-04-17 10:05:00
1776400800,36.65,37.0,33.95,34.1,360815,2026-04-17 10:10:00
1776401100,34.0,34.05,32.75,32.95,749450,2026-04-17 10:15:00
1776401400,32.85,33.35,32.15,32.2,249990,2026-04-17 10:20:00
1776401700,32.3,33.5,31.6,33.3,363155,2026-04-17 10:25:00
1776402000,33.45,36.0,32.45,35.2,456885,2026-04-17 10:30:00
1776402300,35.25,36.35,34.0,36.15,377520,2026-04-17 10:35:00
1776402600,36.1,37.1,34.45,35.1,414505,2026-04-17 10:40:00
1776402900,35.1,35.9,33.75,34.25,213070,2026-04-17 10:45:00
1776403200,34.2,35.5,33.65,34.35,142610,2026-04-17 10:50:00
1776403500,34.4,35.25,33.6,35.2,98735,2026-04-17 10:55:00
1776403800,35.25,37.7,34.3,36.4,253175,2026-04-17 11:00:00
1776404100,36.3,36.75,34.35,34.7,310635,2026-04-17 11:05:00
1776404400,34.65,35.0,32.45,34.0,327925,2026-04-17 11:10:00
1776404700,33.75,34.0,32.1,32.45,246870,2026-04-17 11:15:00
1776405000,32.45,33.5,31.8,33.25,258245,2026-04-17 11:20:00
1776405300,33.15,33.9,32.1,32.4,153010,2026-04-17 11:25:00
1776405600,32.2,32.45,30.8,30.8,228020,2026-04-17 11:30:00
1776405900,30.9,31.5,30.05,30.95,217685,2026-04-17 11:35:00
1776406200,31.0,31.2,29.85,30.45,204035,2026-04-17 11:40:00
1776406500,30.4,32.1,30.4,31.5,175890,2026-04-17 11:45:00
1776406800,31.45,31.65,28.65,29.2,312195,2026-04-17 11:50:00
1776407100,29.1,30.55,27.9,30.25,486330,2026-04-17 11:55:00
1776407400,30.25,31.65,29.8,31.45,426855,2026-04-17 12:00:00
1776407700,31.55,32.5,29.7,30.0,309335,2026-04-17 12:05:00
1776408000,30.0,30.35,28.6,28.65,149370,2026-04-17 12:10:00
1776408300,28.6,29.4,28.1,29.1,145470,2026-04-17 12:15:00
1776408600,29.15,29.4,28.3,28.3,97955,2026-04-17 12:20:00
1776408900,28.5,28.9,28.05,28.9,109850,2026-04-17 12:25:00
1776409200,28.9,31.3,28.65,31.25,236535,2026-04-17 12:30:00
1776409500,31.4,32.0,30.0,31.85,154570,2026-04-17 12:35:00
1776409800,31.9,32.45,29.95,31.1,214175,2026-04-17 12:40:00
1776410100,30.95,32.15,29.9,30.55,143845,2026-04-17 12:45:00
1776410400,30.55,31.65,30.0,30.95,218530,2026-04-17 12:50:00
1776410700,30.9,31.8,30.15,30.6,184015,2026-04-17 12:55:00
1776411000,30.65,30.9,29.5,30.15,214825,2026-04-17 13:00:00
1776411300,30.35,30.4,27.6,27.85,174980,2026-04-17 13:05:00
1776411600,27.65,27.8,26.9,27.65,312260,2026-04-17 13:10:00
1776411900,27.7,28.6,27.15,28.45,258700,2026-04-17 13:15:00
1776412200,28.45,28.45,26.45,28.05,141375,2026-04-17 13:20:00
1776412500,28.15,28.4,25.85,25.85,190580,2026-04-17 13:25:00
1776412800,25.75,26.6,25.45,25.45,190450,2026-04-17 13:30:00
1776413100,25.55,26.6,25.15,25.4,246480,2026-04-17 13:35:00
1776413400,25.65,26.1,24.85,26.1,218270,2026-04-17 13:40:00
1776413700,26.05,26.05,25.0,25.0,131820,2026-04-17 13:45:00
1776414000,25.1,25.15,24.1,24.1,155415,2026-04-17 13:50:00
1776414300,24.2,25.65,24.05,24.65,320255,2026-04-17 13:55:00
1776414600,24.65,25.0,23.5,24.7,208520,2026-04-17 14:00:00
1776414900,24.8,24.9,23.35,23.55,190775,2026-04-17 14:05:00
1776415200,23.5,24.0,22.7,23.65,251745,2026-04-17 14:10:00
1776415500,23.6,23.7,22.5,23.25,193310,2026-04-17 14:15:00
1776415800,23.2,23.8,22.3,23.0,313495,2026-04-17 14:20:00
1776416100,23.1,24.25,23.0,23.95,177450,2026-04-17 14:25:00
1776416400,24.0,24.6,23.2,23.25,181155,2026-04-17 14:30:00
1776416700,23.15,23.6,21.65,22.0,246025,2026-04-17 14:35:00
1776417000,22.1,22.4,21.5,21.6,352365,2026-04-17 14:40:00
1776417300,21.7,21.9,20.3,20.95,744120,2026-04-17 14:45:00
1776417600,20.9,21.25,20.55,21.25,283075,2026-04-17 14:50:00
1776417900,21.2,22.2,21.2,21.55,379860,2026-04-17 14:55:00
1776418200,21.45,23.35,20.8,21.9,669370,2026-04-17 15:00:00
1776418500,21.95,22.0,21.15,21.5,288795,2026-04-17 15:05:00
1776418800,21.55,22.1,20.8,21.4,269360,2026-04-17 15:10:00
1776419100,21.45,22.4,21.45,22.35,536705,2026-04-17 15:15:00
1776419400,22.35,24.45,22.15,23.0,984555,2026-04-17 15:20:00
1776419700,23.05,23.1,22.0,22.0,715065,2026-04-17 15:25:00
