epoch,o,h,l,c,v,time
1776656700,38.0,55.4,28.0,49.95,3596190,2026-04-20 09:15:00
1776656760,48.4,54.55,46.55,49.9,3042715,2026-04-20 09:16:00
1776656820,49.4,52.2,42.75,42.9,2809755,2026-04-20 09:17:00
1776656880,43.25,46.4,41.9,45.05,1774110,2026-04-20 09:18:00
1776656940,45.0,46.25,39.8,39.8,1381900,2026-04-20 09:19:00
1776657000,39.35,39.95,35.55,35.95,1774630,2026-04-20 09:20:00
1776657060,35.8,37.6,35.25,36.35,1269710,2026-04-20 09:21:00
1776657120,36.15,36.2,33.9,34.9,1250665,2026-04-20 09:22:00
1776657180,35.1,35.1,33.45,34.35,1120665,2026-04-20 09:23:00
1776657240,34.85,34.85,32.9,33.55,811850,2026-04-20 09:24:00
1776657300,33.95,34.0,30.7,31.5,1152255,2026-04-20 09:25:00
1776657360,31.55,34.15,31.1,33.6,945555,2026-04-20 09:26:00
1776657420,33.7,33.95,32.1,32.2,659035,2026-04-20 09:27:00
1776657480,32.15,32.15,30.4,31.9,674180,2026-04-20 09:28:00
1776657540,31.8,33.6,31.7,33.4,496210,2026-04-20 09:29:00
1776657600,33.35,33.7,32.0,33.5,661245,2026-04-20 09:30:00
1776657660,33.4,35.7,33.4,34.95,1074515,2026-04-20 09:31:00
1776657720,34.9,40.8,34.45,38.6,1384435,2026-04-20 09:32:00
1776657780,38.95,38.95,33.8,34.9,1164475,2026-04-20 09:33:00
1776657840,35.0,38.0,34.75,35.35,733330,2026-04-20 09:34:00
1776657900,35.45,36.95,33.85,34.95,660790,2026-04-20 09:35:00
1776657960,35.1,37.05,33.35,35.95,559520,2026-04-20 09:36:00
1776658020,36.0,36.8,34.7,35.6,600405,2026-04-20 09:37:00
1776658080,35.5,37.75,34.15,37.0,759395,2026-04-20 09:38:00
1776658140,37.0,37.85,35.4,36.7,616070,2026-04-20 09:39:00
1776658200,36.95,39.15,36.5,36.9,888160,2026-04-20 09:40:00
1776658260,36.95,39.5,35.05,39.15,758030,2026-04-20 09:41:00
1776658320,39.6,41.1,37.3,39.35,1933555,2026-04-20 09:42:00
1776658380,39.2,43.65,39.1,43.15,1264120,2026-04-20 09:43:00
1776658440,43.3,45.5,42.45,44.25,1610635,2026-04-20 09:44:00
1776658500,43.95,46.65,43.35,44.1,1298050,2026-04-20 09:45:00
1776658560,44.4,47.05,43.55,47.05,872235,2026-04-20 09:46:00
1776658620,47.1,50.85,47.1,49.1,1756300,2026-04-20 09:47:00
1776658680,49.0,49.85,48.0,49.2,912470,2026-04-20 09:48:00
1776658740,49.6,49.75,45.85,47.65,968175,2026-04-20 09:49:00
1776658800,47.45,49.7,46.5,47.2,809120,2026-04-20 09:50:00
1776658860,47.2,47.85,44.3,46.35,934960,2026-04-20 09:51:00
1776658920,46.45,46.8,43.65,45.25,739180,2026-04-20 09:52:00
